aqi,so2,co,pm10,no2,o3(8h),pm25,Class
28,2,3,13,28,11,15,1
31,0,3,18,30,11,31,1
57,57,20,42,37,11,54,2
38,12,2,14,38,11,22,1
53,35,6,22,43,11,53,2
48,0,6,18,48,11,20,1
94,10,7,41,50,11,94,2
68,5,6,37,51,11,68,2
113,8,7,64,56,11,113,3
77,8,9,40,57,11,77,2
58,2,7,26,58,11,57,2
63,2,7,25,59,11,63,2
122,10,12,74,60,11,122,3
79,2,8,42,63,11,79,2
106,5,9,63,64,11,106,3
12,2,1,9,5,12,6,1
15,0,1,15,7,12,7,1
17,0,1,17,7,12,8,1
14,0,1,14,8,12,7,1
12,2,1,5,10,12,5,1
13,2,1,13,10,12,11,1
15,2,1,7,15,12,10,1
15,0,1,8,15,12,10,1
15,0,1,8,15,12,7,1
19,0,2,9,15,12,19,1
22,0,1,6,17,12,22,1
31,2,3,8,17,12,31,1
17,2,1,9,17,12,8,1
20,2,3,20,17,12,15,1
22,5,1,22,20,12,17,1
22,2,2,10,22,12,7,1
30,30,1,13,22,12,10,1
22,0,2,13,22,12,17,1
23,10,3,15,23,12,11,1
25,2,2,11,25,12,23,1
25,2,2,16,25,12,18,1
27,5,5,9,27,12,11,1
27,5,3,10,27,12,8,1
27,15,2,12,27,12,17,1
28,2,3,11,28,12,15,1
30,10,2,6,30,12,12,1
30,8,2,11,30,12,25,1
33,5,1,9,33,12,11,1
37,2,2,13,37,12,33,1
38,5,3,11,38,12,17,1
38,0,5,16,38,12,20,1
40,2,2,8,40,12,19,1
40,5,3,10,40,12,12,1
47,2,7,19,47,12,32,1
60,25,6,33,52,12,60,2
68,5,5,37,52,12,68,2
76,8,7,41,52,12,76,2
106,5,7,70,54,12,106,3
75,5,8,38,57,12,75,2
65,2,7,30,58,12,65,2
96,10,7,52,60,12,96,2
63,2,9,26,61,12,63,2
102,2,10,57,65,12,102,3
87,10,8,49,67,12,87,2
104,5,8,59,67,12,104,3
94,5,12,54,72,12,94,2
13,0,0,4,2,13,7,1
13,2,0,6,2,13,8,1
13,2,0,4,3,13,8,1
13,0,0,8,3,13,9,1
13,0,0,9,3,13,4,1
13,2,0,8,5,13,7,1
13,0,0,3,7,13,5,1
13,2,1,7,7,13,5,1
13,5,1,9,7,13,8,1
13,2,1,13,7,13,11,1
13,0,1,6,8,13,5,1
13,2,1,8,8,13,2,1
13,2,1,8,8,13,9,1
13,0,2,8,8,13,8,1
13,0,1,12,8,13,10,1
17,2,1,17,8,13,9,1
13,2,1,6,10,13,4,1
14,0,1,14,10,13,12,1
24,2,1,17,10,13,24,1
21,0,2,21,10,13,20,1
13,2,1,9,12,13,3,1
20,5,1,20,12,13,16,1
13,2,2,8,13,13,,1
13,2,1,12,13,13,5,1
19,2,2,19,13,13,18,1
17,2,2,7,15,13,17,1
25,2,3,6,17,13,25,1
17,8,1,8,17,13,9,1
21,2,2,10,17,13,21,1
17,12,3,14,17,13,17,1
18,0,2,6,18,13,3,1
24,10,1,10,18,13,24,1
18,5,1,14,18,13,15,1
35,20,1,35,18,13,19,1
20,0,1,9,20,13,3,1
20,8,2,9,20,13,9,1
20,2,1,10,20,13,14,1
22,0,2,11,22,13,7,1
22,2,2,11,22,13,6,1
22,8,3,14,22,13,13,1
87,0,5,51,22,13,87,2
30,2,3,17,27,13,30,1
27,18,1,20,27,13,16,1
27,2,1,21,27,13,24,1
38,2,3,17,28,13,38,1
28,5,3,19,28,13,23,1
30,22,2,16,30,13,30,1
30,2,3,16,30,13,26,1
42,0,7,15,42,13,22,1
49,5,6,19,45,13,49,1
47,0,8,19,47,13,28,1
50,2,6,20,50,13,33,1
50,5,5,23,50,13,49,1
60,2,7,23,51,13,60,2
90,2,6,42,51,13,90,2
68,5,6,34,53,13,68,2
82,12,6,47,54,13,82,2
70,22,6,38,56,13,70,2
14,0,0,4,2,14,8,1
14,2,0,4,2,14,4,1
14,0,0,5,2,14,5,1
14,0,0,6,2,14,2,1
14,0,0,7,2,14,11,1
17,2,0,12,2,14,17,1
14,2,1,10,3,14,10,1
15,0,1,15,3,14,6,1
16,0,0,16,3,14,13,1
14,2,1,6,5,14,2,1
14,2,0,9,5,14,5,1
14,2,0,9,5,14,8,1
14,2,0,10,5,14,6,1
14,2,0,14,5,14,11,1
14,2,0,14,5,14,11,1
21,0,1,17,5,14,21,1
17,2,1,17,5,14,10,1
33,2,1,33,5,14,15,1
14,2,1,10,7,14,7,1
14,2,1,12,7,14,6,1
14,2,1,4,8,14,,1
14,2,1,6,8,14,10,1
14,0,1,9,8,14,4,1
14,0,1,10,8,14,5,1
14,2,1,11,8,14,10,1
15,0,1,15,8,14,5,1
16,2,0,16,8,14,11,1
14,2,1,5,10,14,1,1
16,2,1,9,10,14,16,1
14,8,2,12,10,14,12,1
15,2,3,15,10,14,12,1
14,0,1,7,12,14,7,1
14,0,1,9,12,14,12,1
14,0,1,9,12,14,6,1
19,2,1,10,12,14,19,1
14,2,1,12,12,14,12,1
14,8,1,9,13,14,9,1
14,0,1,14,13,14,11,1
16,0,1,16,13,14,15,1
16,2,1,16,13,14,16,1
15,0,2,8,15,14,11,1
22,5,2,10,15,14,22,1
20,15,1,15,15,14,20,1
18,0,1,18,15,14,18,1
18,18,2,12,17,14,13,1
25,10,2,14,17,14,25,1
23,5,1,15,17,14,23,1
17,2,1,17,17,14,15,1
17,2,2,17,17,14,9,1
18,2,2,13,18,14,10,1
20,2,3,20,18,14,18,1
20,2,2,9,20,14,15,1
20,2,2,11,20,14,19,1
22,2,1,7,22,14,14,1
22,2,2,8,22,14,3,1
22,10,2,13,22,14,6,1
22,2,2,15,22,14,8,1
23,2,1,13,23,14,14,1
28,8,1,21,23,14,28,1
25,2,2,5,25,14,11,1
25,2,3,16,25,14,21,1
25,12,2,19,25,14,19,1
27,5,2,14,27,14,21,1
27,5,2,20,27,14,20,1
28,2,1,9,28,14,18,1
28,2,3,9,28,14,8,1
28,5,5,15,28,14,13,1
33,2,5,17,33,14,26,1
33,2,5,17,33,14,18,1
59,5,2,38,33,14,59,2
35,2,2,8,35,14,18,1
38,15,1,12,38,14,17,1
38,12,2,16,38,14,31,1
40,0,3,18,40,14,25,1
40,0,7,22,40,14,33,1
58,2,3,26,40,14,58,2
45,2,5,19,45,14,25,1
97,5,6,62,51,14,97,2
52,5,7,18,52,14,36,2
52,30,3,20,52,14,34,2
87,8,5,38,52,14,87,2
52,18,6,39,52,14,51,2
54,5,6,17,54,14,44,2
69,5,5,33,54,14,69,2
102,10,9,49,69,14,102,3
98,5,16,58,82,14,98,2
15,0,0,6,2,15,11,1
15,0,0,9,2,15,12,1
15,0,1,10,2,15,13,1
22,10,1,22,2,15,10,1
15,0,0,4,3,15,11,1
15,2,1,14,3,15,9,1
15,12,1,8,5,15,6,1
15,0,0,10,5,15,9,1
15,2,0,10,5,15,6,1
15,8,1,10,5,15,15,1
15,2,0,14,5,15,9,1
15,0,0,15,5,15,6,1
16,2,1,16,5,15,8,1
15,2,1,6,7,15,,1
15,2,1,12,7,15,9,1
15,2,1,7,8,15,3,1
15,2,1,12,8,15,4,1
15,2,1,13,8,15,14,1
15,0,1,5,10,15,10,1
16,0,1,11,10,15,16,1
15,2,1,12,10,15,,1
15,5,2,13,10,15,5,1
18,2,1,18,10,15,17,1
19,2,1,19,10,15,10,1
15,0,2,5,12,15,7,1
15,2,1,9,12,15,11,1
15,2,1,11,12,15,15,1
15,2,1,13,12,15,5,1
17,0,1,17,12,15,10,1
22,2,1,22,12,15,15,1
15,0,2,4,13,15,13,1
15,2,2,9,13,15,3,1
18,2,1,11,13,15,18,1
15,8,1,11,13,15,11,1
26,0,1,12,13,15,26,1
15,2,1,12,13,15,5,1
15,0,2,5,15,15,,1
20,5,1,10,15,15,20,1
15,2,1,11,15,15,2,1
20,0,2,20,15,15,19,1
17,2,1,7,17,15,4,1
21,5,1,11,17,15,21,1
17,0,1,15,17,15,13,1
25,8,2,15,17,15,25,1
19,2,2,16,17,15,19,1
30,2,2,22,17,15,30,1
18,0,1,7,18,15,9,1
18,5,1,9,18,15,7,1
18,0,2,9,18,15,6,1
23,8,2,13,18,15,23,1
24,0,2,14,18,15,24,1
34,2,2,34,18,15,33,1
20,2,2,4,20,15,8,1
20,2,2,7,20,15,14,1
20,5,1,13,20,15,9,1
20,2,1,15,20,15,13,1
21,8,2,15,20,15,21,1
22,5,1,8,22,15,18,1
22,0,1,10,22,15,18,1
22,0,2,13,22,15,11,1
23,2,1,5,23,15,5,1
23,2,1,9,23,15,5,1
23,20,1,11,23,15,9,1
23,2,2,11,23,15,7,1
23,5,2,13,23,15,15,1
23,5,1,15,23,15,22,1
23,2,3,15,23,15,16,1
28,22,2,18,23,15,28,1
27,0,2,27,23,15,18,1
25,5,2,9,25,15,18,1
25,2,3,16,25,15,23,1
27,5,3,13,27,15,20,1
27,5,3,21,27,15,22,1
68,0,3,34,27,15,68,2
28,2,3,10,28,15,18,1
28,5,3,17,28,15,14,1
48,2,3,26,28,15,48,1
30,2,2,8,30,15,16,1
30,0,2,11,30,15,16,1
30,0,5,15,30,15,18,1
33,2,3,8,33,15,20,1
35,25,2,22,35,15,26,1
37,2,3,17,37,15,36,1
37,2,3,18,37,15,27,1
54,2,5,40,38,15,54,2
40,2,3,15,40,15,30,1
78,2,6,45,42,15,78,2
43,0,5,8,43,15,17,1
45,2,5,20,45,15,24,1
45,5,6,20,45,15,31,1
63,2,5,24,45,15,63,2
47,2,6,21,47,15,44,1
82,5,6,41,48,15,82,2
50,2,6,20,50,15,39,1
51,0,6,13,51,15,28,2
51,2,6,21,51,15,51,2
81,10,6,48,51,15,81,2
52,2,7,15,52,15,30,2
52,18,5,16,52,15,29,2
72,2,5,35,52,15,72,2
106,5,8,38,52,15,106,3
105,5,7,64,53,15,105,3
57,2,6,22,57,15,57,2
61,8,7,48,57,15,61,2
102,2,8,54,57,15,102,3
67,5,9,24,64,15,67,2
16,0,0,5,2,16,9,1
16,0,0,7,2,16,8,1
16,0,0,7,2,16,9,1
19,2,0,12,2,16,19,1
16,0,0,7,3,16,11,1
16,2,1,9,3,16,6,1
16,2,0,11,3,16,14,1
16,2,1,13,3,16,10,1
16,2,1,15,3,16,9,1
16,2,0,5,5,16,2,1
16,2,1,8,5,16,9,1
16,0,0,10,5,16,6,1
16,2,0,10,5,16,9,1
16,2,1,12,5,16,6,1
16,0,0,13,5,16,7,1
16,2,0,13,5,16,6,1
16,5,1,13,5,16,8,1
16,8,1,13,5,16,7,1
16,2,0,15,5,16,13,1
16,2,0,15,5,16,15,1
17,0,0,17,5,16,9,1
16,2,1,8,7,16,10,1
16,0,0,10,7,16,8,1
16,0,1,15,7,16,8,1
16,2,0,10,8,16,6,1
16,2,0,14,8,16,9,1
16,2,1,15,8,16,7,1
16,0,1,14,10,16,7,1
21,2,2,21,10,16,21,1
27,2,1,27,10,16,16,1
16,5,1,13,12,16,8,1
27,0,2,16,12,16,27,1
17,2,1,17,12,16,14,1
20,0,1,20,12,16,17,1
34,2,3,27,12,16,34,1
16,2,2,5,13,16,13,1
16,0,1,7,13,16,4,1
16,5,1,7,13,16,9,1
16,10,1,15,13,16,10,1
22,8,2,19,13,16,22,1
16,2,1,8,15,16,8,1
18,5,2,8,15,16,18,1
16,2,1,9,15,16,6,1
16,0,2,11,15,16,14,1
16,2,1,12,15,16,15,1
16,5,1,12,15,16,11,1
22,5,1,13,15,16,22,1
20,20,3,17,15,16,14,1
19,2,2,10,17,16,19,1
19,2,1,16,17,16,19,1
19,2,2,19,17,16,17,1
74,2,5,43,17,16,74,2
18,5,2,8,18,16,10,1
18,10,2,8,18,16,18,1
18,2,3,8,18,16,14,1
18,12,1,9,18,16,12,1
19,0,2,18,18,16,19,1
19,2,3,19,18,16,19,1
22,8,2,22,18,16,16,1
24,22,2,22,18,16,24,1
43,2,2,29,18,16,43,1
20,12,2,5,20,16,,1
20,2,2,8,20,16,10,1
20,0,2,10,20,16,11,1
25,8,2,12,20,16,25,1
20,2,2,13,20,16,7,1
20,2,2,14,20,16,17,1
20,0,2,15,20,16,20,1
20,2,1,19,20,16,17,1
22,2,1,10,22,16,16,1
22,8,1,11,22,16,11,1
22,8,2,14,22,16,16,1
22,2,2,17,22,16,17,1
28,28,2,9,23,16,15,1
23,0,1,11,23,16,16,1
23,0,3,13,23,16,12,1
31,12,2,21,23,16,31,1
25,15,3,24,23,16,25,1
25,2,2,8,25,16,20,1
25,2,3,18,25,16,21,1
31,2,1,27,25,16,31,1
58,2,5,36,25,16,58,2
27,2,3,9,27,16,6,1
37,2,5,34,28,16,37,1
30,5,2,16,30,16,24,1
30,15,2,19,30,16,29,1
53,2,5,20,30,16,53,2
32,2,2,10,32,16,28,1
32,8,3,13,32,16,13,1
37,15,2,18,32,16,37,1
61,2,5,39,32,16,61,2
33,2,3,18,33,16,25,1
35,5,3,15,35,16,8,1
35,5,5,15,35,16,21,1
43,2,3,18,37,16,43,1
46,2,3,23,37,16,46,1
74,2,5,41,37,16,74,2
38,0,5,13,38,16,19,1
55,0,5,29,38,16,55,2
95,8,5,60,38,16,95,2
42,32,3,16,42,16,35,1
42,5,3,21,42,16,20,1
42,8,5,29,42,16,40,1
43,2,3,19,43,16,24,1
43,5,5,19,43,16,37,1
43,2,3,22,43,16,34,1
45,0,5,15,45,16,32,1
49,25,5,25,47,16,49,1
50,5,6,15,50,16,30,1
50,5,7,29,50,16,45,1
76,30,5,41,50,16,76,2
51,2,5,20,51,16,32,2
52,2,6,21,52,16,49,2
93,5,6,48,52,16,93,2
54,2,7,24,53,16,54,2
53,2,5,27,53,16,38,2
103,5,6,57,53,16,103,3
90,10,7,53,55,16,90,2
57,2,5,11,57,16,17,2
77,5,7,40,57,16,77,2
90,5,8,47,57,16,90,2
61,2,9,25,61,16,59,2
87,12,6,49,61,16,87,2
106,5,15,57,64,16,106,3
111,10,14,59,70,16,111,3
17,2,0,7,0,17,9,1
17,0,0,6,2,17,8,1
17,0,0,7,2,17,13,1
17,5,0,8,2,17,2,1
17,0,0,8,3,17,14,1
17,8,0,8,3,17,6,1
17,2,1,10,3,17,10,1
17,15,1,11,3,17,8,1
17,2,1,12,3,17,9,1
17,2,0,15,3,17,7,1
17,0,0,16,3,17,11,1
17,0,1,5,5,17,3,1
17,0,0,14,5,17,10,1
17,2,1,16,5,17,6,1
17,2,1,16,5,17,16,1
17,2,1,16,5,17,6,1
21,0,1,21,5,17,19,1
17,0,1,4,7,17,8,1
17,0,0,10,7,17,6,1
17,2,1,11,7,17,5,1
17,2,1,11,7,17,9,1
45,45,1,11,7,17,5,1
17,5,0,15,7,17,6,1
17,2,1,15,7,17,7,1
17,0,1,16,7,17,8,1
25,2,1,17,7,17,25,1
22,0,1,22,7,17,16,1
17,2,0,8,8,17,6,1
17,2,1,8,8,17,3,1
17,5,1,10,8,17,10,1
17,2,1,15,8,17,6,1
22,2,1,18,8,17,22,1
18,2,1,18,8,17,18,1
20,2,1,20,8,17,14,1
17,2,1,4,10,17,9,1
17,0,1,8,10,17,11,1
17,2,2,9,10,17,15,1
17,2,1,12,10,17,10,1
18,0,1,18,10,17,8,1
17,2,1,4,12,17,5,1
17,0,1,9,12,17,12,1
17,2,1,10,12,17,1,1
17,2,1,11,12,17,11,1
17,2,0,12,12,17,10,1
21,2,1,13,12,17,21,1
17,2,1,14,12,17,11,1
17,0,1,15,12,17,15,1
17,8,0,17,12,17,7,1
18,2,0,18,12,17,13,1
20,0,1,20,12,17,13,1
17,2,1,8,13,17,12,1
18,0,1,9,13,17,18,1
17,2,1,9,13,17,3,1
17,5,1,13,13,17,2,1
18,0,1,18,13,17,9,1
20,0,1,20,13,17,13,1
26,2,2,26,13,17,23,1
17,2,2,7,15,17,4,1
17,2,1,9,15,17,12,1
17,0,1,11,15,17,9,1
17,5,1,12,15,17,16,1
17,2,1,14,15,17,8,1
30,2,2,16,15,17,30,1
36,2,2,19,15,17,36,1
26,0,2,21,15,17,26,1
17,5,1,6,17,17,8,1
17,2,1,7,17,17,12,1
17,2,2,8,17,17,11,1
17,2,3,8,17,17,17,1
17,0,1,9,17,17,7,1
17,8,1,9,17,17,8,1
17,2,2,10,17,17,7,1
27,10,2,11,17,17,27,1
17,8,2,12,17,17,10,1
17,2,1,13,17,17,14,1
22,0,1,22,17,17,18,1
18,0,2,9,18,17,16,1
37,2,3,29,18,17,37,1
59,2,3,32,18,17,59,2
20,0,1,10,20,17,17,1
20,10,2,11,20,17,10,1
20,2,1,15,20,17,15,1
20,8,2,16,20,17,10,1
29,0,3,17,20,17,29,1
40,40,1,18,20,17,19,1
23,8,2,18,20,17,23,1
22,0,2,8,22,17,18,1
22,2,2,11,22,17,18,1
22,8,2,11,22,17,18,1
22,2,1,13,22,17,9,1
25,25,2,21,22,17,23,1
23,2,2,8,23,17,6,1
28,28,2,11,23,17,17,1
23,8,1,13,23,17,19,1
23,10,2,17,23,17,22,1
27,12,3,17,23,17,27,1
24,15,2,18,23,17,24,1
25,8,0,20,23,17,25,1
35,18,5,28,23,17,35,1
25,2,1,3,25,17,7,1
25,0,2,7,25,17,11,1
25,8,2,14,25,17,20,1
32,0,5,14,25,17,32,1
27,5,3,16,25,17,27,1
29,12,3,17,25,17,29,1
25,15,2,20,25,17,22,1
27,0,2,12,27,17,17,1
40,40,5,17,27,17,21,1
53,2,5,19,27,17,53,2
28,2,3,8,28,17,18,1
28,2,2,9,28,17,19,1
34,8,2,14,30,17,34,1
30,0,3,16,30,17,21,1
36,2,3,19,30,17,36,1
30,5,3,21,30,17,26,1
73,2,5,44,30,17,73,2
32,8,2,11,32,17,27,1
52,2,3,36,32,17,52,2
33,2,5,7,33,17,11,1
33,5,2,12,33,17,8,1
33,2,5,12,33,17,9,1
33,2,1,16,33,17,23,1
75,5,3,50,35,17,75,2
43,2,3,29,38,17,43,1
40,0,3,6,40,17,3,1
47,2,5,18,40,17,47,1
40,5,5,19,40,17,35,1
40,0,2,25,40,17,32,1
42,10,2,12,42,17,17,1
43,2,5,8,43,17,5,1
43,0,3,14,43,17,24,1
43,2,6,16,43,17,33,1
66,5,5,28,43,17,66,2
56,5,5,42,43,17,56,2
62,2,5,31,45,17,62,2
79,2,5,39,47,17,79,2
48,8,2,20,48,17,31,1
90,5,7,45,48,17,90,2
79,5,6,48,48,17,79,2
50,8,3,11,50,17,18,1
51,5,8,16,51,17,33,2
51,25,1,24,51,17,41,2
76,2,5,38,52,17,76,2
55,2,6,13,55,17,24,2
55,5,8,18,55,17,33,2
60,5,6,38,60,17,60,2
84,12,7,60,60,17,84,2
105,8,7,62,60,17,105,3
127,2,9,70,64,17,127,3
18,0,0,8,0,18,12,1
18,2,0,12,0,18,17,1
18,0,0,7,2,18,9,1
18,0,0,8,2,18,12,1
18,2,0,8,2,18,11,1
18,0,0,9,2,18,9,1
18,0,0,9,2,18,12,1
18,2,0,10,2,18,6,1
18,2,1,11,2,18,10,1
18,2,0,9,3,18,11,1
18,5,1,9,3,18,8,1
18,2,0,5,5,18,2,1
18,2,1,6,5,18,3,1
18,2,1,7,5,18,4,1
18,2,1,8,5,18,17,1
18,2,1,11,5,18,5,1
18,2,1,13,5,18,9,1
18,2,1,16,5,18,12,1
18,0,1,17,5,18,12,1
18,2,1,17,5,18,4,1
18,2,1,18,5,18,16,1
19,2,1,19,5,18,14,1
18,2,1,8,7,18,12,1
18,0,1,11,7,18,7,1
18,0,1,12,7,18,10,1
29,2,1,15,7,18,29,1
18,5,0,16,7,18,12,1
20,2,1,20,7,18,12,1
21,0,0,21,7,18,13,1
23,2,1,23,7,18,11,1
18,2,1,4,8,18,5,1
18,2,1,4,8,18,12,1
18,2,1,8,8,18,4,1
18,5,1,9,8,18,6,1
18,8,1,10,8,18,14,1
18,2,1,12,8,18,12,1
18,2,1,14,8,18,18,1
18,0,1,15,8,18,9,1
18,2,1,16,8,18,9,1
18,0,0,17,8,18,10,1
22,0,2,17,8,18,22,1
22,0,1,22,8,18,19,1
23,2,1,23,8,18,12,1
23,2,1,23,8,18,14,1
18,0,1,8,10,18,2,1
18,2,1,14,10,18,15,1
18,2,1,16,10,18,13,1
18,2,1,17,10,18,10,1
18,2,0,12,12,18,10,1
18,0,1,12,12,18,7,1
18,5,1,12,12,18,6,1
23,2,1,15,12,18,23,1
20,0,1,16,12,18,20,1
18,2,1,17,12,18,8,1
18,5,1,4,13,18,7,1
18,2,1,9,13,18,17,1
18,2,0,11,13,18,9,1
21,2,1,13,13,18,21,1
33,2,1,14,13,18,33,1
18,2,1,15,13,18,8,1
18,2,1,17,13,18,5,1
18,5,1,17,13,18,13,1
22,0,1,7,15,18,22,1
23,0,0,13,15,18,23,1
21,5,2,14,15,18,21,1
18,5,2,14,15,18,8,1
30,0,2,18,15,18,30,1
24,0,1,20,15,18,24,1
42,2,2,35,15,18,42,1
24,5,1,10,17,18,24,1
18,8,1,12,17,18,17,1
18,0,1,13,17,18,11,1
22,22,2,14,17,18,10,1
18,2,2,15,17,18,6,1
28,5,2,16,17,18,28,1
23,5,2,17,17,18,23,1
32,0,2,25,17,18,32,1
18,15,1,10,18,18,12,1
27,2,2,12,18,18,27,1
18,5,2,13,18,18,17,1
18,10,1,14,18,18,15,1
18,8,2,16,18,18,9,1
28,2,1,21,18,18,28,1
59,5,2,26,18,18,59,2
20,5,2,8,20,18,10,1
20,2,2,9,20,18,16,1
20,5,2,10,20,18,5,1
20,2,1,11,20,18,9,1
20,2,1,12,20,18,15,1
20,2,2,12,20,18,13,1
20,5,2,14,20,18,18,1
20,12,2,14,20,18,10,1
20,5,3,14,20,18,15,1
20,2,2,16,20,18,16,1
22,5,2,9,22,18,17,1
22,2,2,10,22,18,10,1
22,0,2,11,22,18,18,1
22,2,2,11,22,18,19,1
33,2,1,16,22,18,33,1
22,2,3,16,22,18,22,1
23,2,2,6,23,18,10,1
23,22,2,8,23,18,8,1
48,48,1,14,23,18,21,1
23,8,1,16,23,18,17,1
23,2,2,16,23,18,7,1
32,10,2,21,23,18,32,1
28,8,1,24,23,18,28,1
44,8,3,25,23,18,44,1
64,2,3,28,23,18,64,2
65,2,3,33,23,18,65,2
27,0,2,19,25,18,27,1
51,2,3,22,25,18,51,2
27,18,3,27,25,18,26,1
30,15,1,30,25,18,,1
27,5,2,10,27,18,15,1
31,5,1,14,27,18,31,1
27,5,2,17,27,18,17,1
27,0,5,17,27,18,19,1
65,2,3,34,27,18,65,2
85,5,3,38,27,18,85,2
28,5,2,12,28,18,15,1
39,5,3,18,28,18,39,1
33,32,2,20,28,18,33,1
51,2,3,24,28,18,51,2
30,0,2,10,30,18,5,1
30,8,2,21,30,18,19,1
42,2,3,22,30,18,42,1
30,8,3,22,30,18,27,1
39,25,3,30,30,18,39,1
33,5,5,30,30,18,33,1
32,0,3,6,32,18,17,1
35,0,5,20,32,18,35,1
57,2,3,38,32,18,57,2
33,2,2,16,33,18,27,1
33,2,3,25,33,18,31,1
102,5,5,54,33,18,102,3
35,2,5,13,35,18,23,1
56,2,3,30,35,18,56,2
37,5,5,11,37,18,20,1
37,30,9,16,37,18,27,1
38,2,5,14,38,18,19,1
38,2,3,25,38,18,30,1
40,8,2,13,40,18,35,1
40,2,2,15,40,18,23,1
40,5,6,15,40,18,23,1
42,0,3,8,42,18,21,1
54,5,5,24,43,18,54,2
57,2,5,46,45,18,57,2
75,5,5,41,47,18,75,2
48,0,3,17,48,18,21,1
52,2,3,16,52,18,24,2
52,2,6,16,52,18,33,2
82,2,6,40,52,18,82,2
53,0,2,9,53,18,14,2
53,10,6,19,53,18,44,2
68,12,5,58,54,18,68,2
55,5,10,25,55,18,55,2
89,50,7,52,55,18,89,2
121,2,10,56,55,18,121,3
90,2,8,41,57,18,90,2
66,8,9,19,66,18,34,2
19,0,1,9,0,19,3,1
19,2,0,7,2,19,12,1
19,2,0,8,2,19,12,1
19,0,0,9,2,19,11,1
19,2,0,9,2,19,11,1
19,2,1,9,2,19,9,1
22,0,0,15,2,19,22,1
23,2,0,16,2,19,23,1
19,0,0,4,3,19,6,1
19,0,0,6,3,19,7,1
19,0,0,7,3,19,13,1
19,2,1,9,3,19,6,1
42,42,3,10,3,19,15,1
19,2,1,13,3,19,12,1
19,2,0,14,3,19,4,1
21,2,1,18,3,19,21,1
19,2,1,19,3,19,12,1
37,2,2,19,3,19,37,1
19,0,1,3,5,19,16,1
19,0,1,5,5,19,17,1
19,2,0,6,5,19,6,1
19,5,0,6,5,19,4,1
19,2,0,9,5,19,6,1
19,2,1,11,5,19,14,1
19,2,1,12,5,19,10,1
19,0,1,14,5,19,6,1
19,0,1,14,5,19,18,1
19,2,1,14,5,19,12,1
19,2,1,14,5,19,17,1
19,2,0,15,5,19,12,1
19,2,0,15,5,19,14,1
19,0,1,15,5,19,15,1
19,0,1,15,5,19,10,1
19,2,1,15,5,19,18,1
19,2,1,15,5,19,10,1
19,2,1,15,5,19,10,1
20,0,0,16,5,19,20,1
19,2,0,16,5,19,12,1
19,2,1,16,5,19,8,1
19,2,1,17,5,19,6,1
